reference_composition,seed,completed_cells,mean_accuracy_pct,accuracy_range_pct,mean_reference_degradation_pp,reference_degradation_range_pp,mean_reference_kl,mean_fisher_cost_x1e3,best_accuracy_pct,best_accuracy_epsilon_multiplier,best_accuracy_gamma,best_accuracy_rho,best_accuracy_reference_degradation_pp,best_accuracy_mean_reference_kl,lowest_degradation_pp,lowest_degradation_epsilon_multiplier,lowest_degradation_gamma,lowest_degradation_rho,lowest_degradation_accuracy_pct,lowest_degradation_mean_reference_kl
B_T,42,9,44.704861111111114,41.80-48.44,13.240229766167788,8.04-21.78,8.508737813893344,0.3293278568889604,48.4375,0.5,1.0,1.4282104843543824,18.865551506396567,9.192859207242895,8.03880447275299,2.0,1.0,22.85136774967012,44.921875,9.361040663056832
B_K,42,9,44.704861111111114,41.80-48.44,13.240229766167788,8.04-21.78,8.508737813893344,0.6569807867182555,48.4375,0.5,1.0,1.4282104843543824,18.865551506396567,9.192859207242895,8.03880447275299,2.0,1.0,22.85136774967012,44.921875,9.361040663056832
T_K,42,9,44.704861111111114,41.80-48.44,13.240229766167788,8.04-21.78,8.508737813893344,0.3563735970398934,48.4375,0.5,1.0,1.4282104843543824,18.865551506396567,9.192859207242895,8.03880447275299,2.0,1.0,22.85136774967012,44.921875,9.361040663056832
B_T_K,42,9,44.704861111111114,41.80-48.44,13.240229766167788,8.04-21.78,8.508737813893344,0.4541301904181,48.4375,0.5,1.0,1.4282104843543824,18.865551506396567,9.192859207242895,8.03880447275299,2.0,1.0,22.85136774967012,44.921875,9.361040663056832
