"solver_configuration","training_optimizer","selector_solver","selector_preconditioner","adam_selection_mode","safe_training_constraint_mode","reference_composition","seed","safe_epsilon_multiplier","safe_cost_gamma","rho","log10_rho","reference_kl","fisher_cost","fisher_cost_milli","target_accuracy","reference_drift_pp"
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,2,0.1,0.000914562665164837,-3.03878653162781,9.41829133145992,0.00116482633166015,1.16482633166015,0.44921875,-8.28122000548471
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,2,1,0.0104983728298954,-1.97887800814521,9.28221100321846,0.00117489974945784,1.17489974945784,0.4609375,7.522111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,2,1,0.0154973385762836,-1.80974287866049,9.01633884249646,0.00111567205749452,1.11567205749452,0.40234375,-3.55339644185774
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,2,1,0.00914562665164837,-2.03878653162781,9.68309960147362,0.00113277102354914,1.13277102354914,0.41796875,-9.19031091457562
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,0.5,0.01,6.80005528974383e-06,-5.16748755612714,8.98399310168696,0.000616766570601612,0.616766570601612,0.44140625,17.8501453439316
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,0.5,0.01,6.46823266264008e-06,-5.18921436689127,9.10594594070759,0.000602812157012522,0.602812157012522,0.41015625,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,0.5,0.01,5.71601665728023e-06,-5.24290651428374,9.75202355936944,0.000561513821594417,0.561513821594417,0.44921875,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,0.5,0.1,6.56148301868465e-05,-4.18299799080114,9.2394949038387,0.000610462739132345,0.610462739132345,0.4453125,17.2334470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,0.5,0.1,6.02333793091755e-05,-4.22016277066376,9.6239644371422,0.000612521194852889,0.612521194852889,0.41796875,10.3904538255219
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,0.5,0.1,5.71601665728023e-05,-4.24290651428374,9.16653783549501,0.000543602567631751,0.543602567631751,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,0.5,1,0.000672672752241585,-3.17219616380046,9.20479558317592,0.000592399155721068,0.592399155721068,0.46484375,20.2842609359419
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,0.5,1,0.000646823266264008,-3.18921436689127,9.4446818148154,0.000601116276811808,0.601116276811808,0.4296875,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,0.5,1,0.000571601665728023,-3.24290651428374,9.27052424737038,0.000561108987312764,0.561108987312764,0.4765625,2.62787090360619
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,1,0.01,2.62459320747386e-05,-4.58093799947317,9.58707246360647,0.000590787967666984,0.590787967666984,0.41015625,17.4325709067493
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,1,0.01,2.58729306505603e-05,-4.5871543755633,9.26201643598377,0.000602348241955042,0.602348241955042,0.39453125,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,1,0.01,2.28640666291209e-05,-4.64084652295577,9.33685310152224,0.000557235500309616,0.557235500309616,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,1,0.1,0.000262459320747386,-3.58093799947318,8.7503740702157,0.000612301810178906,0.612301810178906,0.44921875,17.812437953283
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,1,0.1,0.000258729306505603,-3.5871543755633,9.49259110380002,0.000608201429713517,0.608201429713517,0.4296875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,1,0.1,0.000228640666291209,-3.64084652295577,9.40239750154129,0.000562648696359247,0.562648696359247,0.484375,10.8096890854244
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,1,1,0.00262459320747386,-2.58093799947318,9.69519029392142,0.000606300542131066,0.606300542131066,0.47265625,10.9834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,1,1,0.00258729306505603,-2.5871543755633,9.48291810861151,0.000599811668507755,0.599811668507755,0.44921875,-0.323831888763776
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,1,1,0.00228640666291209,-2.64084652295577,9.5708329341128,0.000571151322219521,0.571151322219521,0.4453125,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,2,0.01,0.000104983728298954,-3.97887800814521,8.97359583631797,0.000604432832915336,0.604432832915336,0.43359375,20.022111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,2,0.01,0.000103491722602241,-3.98509438423534,9.64286443988512,0.000607869355008006,0.607869355008006,0.39453125,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,2,0.01,9.14562665164837e-05,-4.03878653162781,9.03479872777968,0.00055891223018989,0.55891223018989,0.4375,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,2,0.1,0.00104983728298954,-2.97887800814521,9.01984318735374,0.000602419429924339,0.602419429924339,0.46484375,12.5191094207904
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,2,0.1,0.00103491722602241,-2.98509438423534,9.38074674664328,0.000609589391387999,0.609589391387999,0.4375,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,2,0.1,0.000914562665164837,-3.03878653162781,9.41829133145992,0.000559832144062966,0.559832144062966,0.44921875,-8.28122000548471
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,2,1,0.0104983728298954,-1.97887800814521,9.28221100321846,0.000585462898015976,0.585462898015976,0.4609375,7.522111309001
