selector_solver,selector_preconditioner,training_optimizer,safe_training_constraint_mode,safe_geometry,reference_composition,safe_epsilon_multiplier,safe_cost_gamma,safe_rho_mean,safe_rho_std,mean_reference_kl_mean,mean_reference_kl_std,trained_lora_fisher_cost_mean,trained_lora_fisher_cost_std,target_medqa_accuracy_mean,target_medqa_accuracy_std,reference_performance_degradation_mean,reference_performance_degradation_std,seed_count,seeds
greedy_marginal,sgd,adamw,none,reference,B_K,0.5,0.01,7.343761156008035e-06,2.2002815693444577e-06,9.450796004605339,0.3252403185511888,0.0011810592065254848,4.589986310843625e-05,0.4192708333333333,0.02658929408419549,0.12638087567711484,0.10840254762802616,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,0.5,0.1,6.100279202294145e-05,4.279524640627651e-06,9.343332392158638,0.24575687571067023,0.0011724224702144663,5.0348691103375116e-05,0.4466145833333333,0.029318568357285683,0.09477863320885926,0.08249822574192645,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,0.5,1.0,0.0006303658947445388,5.250690373898789e-05,9.306667215120564,0.12396002025206157,0.0011680315947160125,1.3863698151918598e-05,0.45703125,0.024394523431243743,0.08323084110578904,0.10362613198114375,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,1.0,0.01,2.4994309784806624e-05,1.8542476755733198e-06,9.395314000370824,0.17023105707861177,0.0011629147920757532,1.900718724110777e-05,0.4270833333333333,0.04355658511374409,0.06681734913330155,0.09323732896258141,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,1.0,0.1,0.00024994309784806627,1.8542476755733192e-05,9.215120891852338,0.40500114523062974,0.0011826132346565525,3.5569197180379396e-05,0.4544270833333333,0.027713276892959327,0.10141690595508057,0.08025623630651094,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,1.0,1.0,0.0024994309784806623,0.0001854247675573319,9.582980445548577,0.10665618448839312,0.0011820717869947355,2.1329050403270853e-05,0.4557291666666667,0.014788823817188212,0.07762495355517963,0.07051067201309309,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,2.0,0.01,9.99772391392265e-05,7.416990702293279e-06,9.217086334660923,0.37000229005649077,0.0011799063455934327,2.8656922739285125e-05,0.421875,0.02376079113397742,0.07629640295537993,0.10750303467497375,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,2.0,0.1,0.0011713779352609142,0.0003345739209050763,9.39232695227079,0.3602041010307241,0.0011753631600489218,2.4014801066109216e-05,0.4505208333333333,0.013718299157360336,0.020136113877074886,0.10401764820705364,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_K,2.0,1.0,0.011713779352609144,0.0033457392090507623,9.327216482396182,0.33565100520474944,0.0011411142768338323,3.0482573387998835e-05,0.4270833333333333,0.030341615098257925,-0.01740532015810788,0.08502418609736548,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,0.5,0.01,6.328101536554716e-06,5.554390052398671e-07,9.280654200587996,0.4127468086306879,0.0005936975164028505,2.8731934729419727e-05,0.43359375,0.020669932117692115,0.10760320331784852,0.08184984459161757,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,0.5,0.1,6.100279202294145e-05,4.279524640627651e-06,9.343332392158638,0.24575687571067023,0.0005888621672056615,3.920947366621212e-05,0.4466145833333333,0.029318568357285683,0.09477863320885926,0.08249822574192645,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,0.5,1.0,0.0006303658947445388,5.250690373898789e-05,9.306667215120564,0.12396002025206157,0.0005848748066152135,2.1038243162516477e-05,0.45703125,0.024394523431243743,0.08323084110578904,0.10362613198114375,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,1.0,0.01,2.4994309784806624e-05,1.8542476755733198e-06,9.395314000370824,0.17023105707861177,0.0005834572366438806,2.3432767179561657e-05,0.4270833333333333,0.04355658511374409,0.06681734913330155,0.09323732896258141,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,1.0,0.1,0.00024994309784806627,1.8542476755733192e-05,9.215120891852338,0.40500114523062974,0.0005943839787505567,2.7559923645256438e-05,0.4544270833333333,0.027713276892959327,0.10141690595508057,0.08025623630651094,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,1.0,1.0,0.0024994309784806623,0.0001854247675573319,9.582980445548577,0.10665618448839312,0.0005924211776194473,1.87037812159778e-05,0.4557291666666667,0.014788823817188212,0.07762495355517963,0.07051067201309309,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,2.0,0.01,9.99772391392265e-05,7.416990702293279e-06,9.217086334660923,0.37000229005649077,0.0005904048060377439,2.7327443553559683e-05,0.421875,0.02376079113397742,0.07629640295537993,0.10750303467497375,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,2.0,0.1,0.000999772391392265,7.416990702293277e-05,9.272960421818984,0.22000829472945205,0.0005906136551251014,2.68975492247688e-05,0.4505208333333333,0.013718299157360336,0.020983366358314288,0.10400225965730944,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T,2.0,1.0,0.00999772391392265,0.0007416990702293276,9.330291528133268,0.331394140156139,0.0005782906664535403,2.7146263495616992e-05,0.4322916666666667,0.024808019379241732,-0.0012288495698725883,0.0844652258716175,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,0.5,0.01,6.765846831723737e-06,2.7131412156290376e-06,9.49093209543768,0.2628520148463162,0.0008370599631840984,3.943711156300938e-05,0.4166666666666667,0.028258508351836856,0.12722812815835424,0.10713478797003897,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,0.5,0.1,5.460255537827589e-05,1.2489062767455704e-05,9.252824858289406,0.09366610951627238,0.0008247854614940783,5.060639314146835e-05,0.4518229166666667,0.022211877746395808,0.06700085543108149,0.09143456664841802,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,0.5,1.0,0.000551533703907132,0.0001323193331301837,9.307884902198682,0.1259948835876791,0.0008172103165027996,1.935374782510598e-05,0.4635416666666667,0.013718299157360336,0.08238358862454964,0.10440208013428388,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,1.0,0.01,2.1841022151310354e-05,4.995625106982282e-06,9.455116663774465,0.12567036372158646,0.0008062020254631838,1.7444257834600984e-05,0.4270833333333333,0.04355658511374409,0.06840732294549758,0.09202211203996599,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,1.0,0.1,0.00021841022151310356,4.995625106982282e-05,9.041928254699924,0.33142963523826213,0.0008245147570657233,2.533413748945271e-05,0.4518229166666667,0.03133127451957282,0.10141690595508057,0.08025623630651094,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,1.0,1.0,0.002184102215131035,0.0004995625106982282,9.517657258297968,0.20925121358017665,0.0008294572277615467,1.7516261999547545e-05,0.45703125,0.014084184669781208,0.08556146149168757,0.05688060593799508,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,2.0,0.01,8.736408860524142e-05,1.998250042792913e-05,8.903930285342033,0.17634301904702288,0.0008258944920574626,2.8303727731653275e-05,0.4322916666666667,0.005966895436140417,0.07703912428633657,0.10693171881860503,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,2.0,0.1,0.0011713779352609142,0.0003345739209050763,9.39232695227079,0.3602041010307241,0.0008213652763515711,1.9808864303745338e-05,0.4505208333333333,0.013718299157360336,0.020136113877074886,0.10401764820705364,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,B_T_K,2.0,1.0,0.011713779352609144,0.0033457392090507623,9.327216482396182,0.33565100520474944,0.0007987372033918897,2.0018145356465014e-05,0.4270833333333333,0.030341615098257925,-0.01740532015810788,0.08502418609736548,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,0.5,0.01,6.765846831723737e-06,2.7131412156290376e-06,9.49093209543768,0.2628520148463162,0.0006520506188583871,4.026712511607049e-05,0.4166666666666667,0.028258508351836856,0.12722812815835424,0.10713478797003897,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,0.5,0.1,5.460255537827589e-05,1.2489062767455704e-05,9.252824858289406,0.09366610951627238,0.0006435275039014717,4.843387761646939e-05,0.4518229166666667,0.022211877746395808,0.06700085543108149,0.09143456664841802,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,0.5,1.0,0.000551533703907132,0.0001323193331301837,9.307884902198682,0.1259948835876791,0.0006362789038879176,2.1705949246066323e-05,0.4635416666666667,0.013718299157360336,0.08238358862454964,0.10440208013428388,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,1.0,0.01,2.1841022151310354e-05,4.995625106982282e-06,9.455116663774465,0.12567036372158646,0.0006287585517081121,2.3600439901287012e-05,0.4270833333333333,0.04355658511374409,0.06840732294549758,0.09202211203996599,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,1.0,0.1,0.00021841022151310356,4.995625106982282e-05,9.041928254699924,0.33142963523826213,0.0006425143025505046,2.7354431329798605e-05,0.4518229166666667,0.03133127451957282,0.10141690595508057,0.08025623630651094,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,1.0,1.0,0.002184102215131035,0.0004995625106982282,9.517657258297968,0.20925121358017665,0.0006457369308918715,2.2297322089748356e-05,0.45703125,0.014084184669781208,0.08556146149168757,0.05688060593799508,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,2.0,0.01,8.736408860524142e-05,1.998250042792913e-05,8.903930285342033,0.17634301904702288,0.0006448457133956254,3.06134679066825e-05,0.4322916666666667,0.005966895436140417,0.07703912428633657,0.10693171881860503,3,"42,43,44"
greedy_marginal,sgd,adamw,none,reference,T_K,2.0,0.1,0.0011713779352609142,0.0003345739209050763,9.39232695227079,0.3602041010307241,0.0006416548082294563,2.3630235175666585e-05,0.4505208333333333,0.013718299157360336,0.020136113877074886,0.10401764820705364,3,"42,43,44"
