"solver_configuration","selector_solver","selector_preconditioner","safe_training_constraint_mode","reference_composition","safe_epsilon_multiplier","safe_cost_gamma","rho","log10_rho","reference_kl","fisher_cost","fisher_cost_milli","target_accuracy","reference_drift_pp","seed_count"
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",0.5,0.01,7.34376115600803e-06,-5.13408145630498,9.45079600460534,0.00118105920652548,1.18105920652548,0.419270833333333,12.6380875677115,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",0.5,0.1,6.10027920229414e-05,-4.21465028740878,9.34333239215864,0.00117242247021447,1.17242247021447,0.446614583333333,9.47786332088593,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",0.5,1,0.000630365894744539,-3.20040729190957,9.30666721512056,0.00116803159471601,1.16803159471601,0.45703125,8.3230841105789,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",1,0.01,2.49943097848066e-05,-4.6021588517415,9.39531400037082,0.00116291479207575,1.16291479207575,0.427083333333333,6.68173491333016,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",1,0.1,0.000249943097848066,-3.6021588517415,9.21512089185234,0.00118261323465655,1.18261323465655,0.454427083333333,10.1416905955081,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",1,1,0.00249943097848066,-2.6021588517415,9.58298044554858,0.00118207178699474,1.18207178699474,0.455729166666667,7.76249535551796,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",2,0.01,9.99772391392265e-05,-4.00009886041354,9.21708633466092,0.00117990634559343,1.17990634559343,0.421875,7.62964029553799,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",2,0.1,0.00117137793526091,-2.93130296084817,9.39232695227079,0.00117536316004892,1.17536316004892,0.450520833333333,2.01361138770749,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_K",2,1,0.0117137793526091,-1.93130296084817,9.32721648239618,0.00114111427683383,1.14111427683383,0.427083333333333,-1.74053201581079,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",0.5,0.01,6.32810153655472e-06,-5.19872656105089,9.280654200588,0.00059369751640285,0.59369751640285,0.43359375,10.7603203317849,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",0.5,0.1,6.10027920229414e-05,-4.21465028740878,9.34333239215864,0.000588862167205662,0.588862167205662,0.446614583333333,9.47786332088593,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",0.5,1,0.000630365894744539,-3.20040729190957,9.30666721512056,0.000584874806615214,0.584874806615214,0.45703125,8.3230841105789,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",1,0.01,2.49943097848066e-05,-4.6021588517415,9.39531400037082,0.000583457236643881,0.583457236643881,0.427083333333333,6.68173491333016,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",1,0.1,0.000249943097848066,-3.6021588517415,9.21512089185234,0.000594383978750557,0.594383978750557,0.454427083333333,10.1416905955081,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",1,1,0.00249943097848066,-2.6021588517415,9.58298044554858,0.000592421177619447,0.592421177619447,0.455729166666667,7.76249535551796,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",2,0.01,9.99772391392265e-05,-4.00009886041354,9.21708633466092,0.000590404806037744,0.590404806037744,0.421875,7.62964029553799,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",2,0.1,0.000999772391392265,-3.00009886041354,9.27296042181898,0.000590613655125101,0.590613655125101,0.450520833333333,2.09833663583143,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T",2,1,0.00999772391392265,-2.00009886041354,9.33029152813327,0.00057829066645354,0.57829066645354,0.432291666666667,-0.122884956987259,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",0.5,0.01,6.76584683172374e-06,-5.16967783819009,9.49093209543768,0.000837059963184098,0.837059963184098,0.416666666666667,12.7228128158354,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",0.5,0.1,5.46025553782759e-05,-4.26278703200744,9.25282485828941,0.000824785461494078,0.824785461494078,0.451822916666667,6.70008554310815,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",0.5,1,0.000551533703907132,-3.25842794292708,9.30788490219868,0.0008172103165028,0.8172103165028,0.463541666666667,8.23835886245496,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",1,0.01,2.18410221513104e-05,-4.66072704067948,9.45511666377446,0.000806202025463184,0.806202025463184,0.427083333333333,6.84073229454976,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",1,0.1,0.000218410221513104,-3.66072704067948,9.04192825469992,0.000824514757065723,0.824514757065723,0.451822916666667,10.1416905955081,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",1,1,0.00218410221513104,-2.66072704067948,9.51765725829797,0.000829457227761547,0.829457227761547,0.45703125,8.55614614916876,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",2,0.01,8.73640886052414e-05,-4.05866704935151,8.90393028534203,0.000825894492057463,0.825894492057463,0.432291666666667,7.70391242863366,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",2,0.1,0.00117137793526091,-2.93130296084817,9.39232695227079,0.000821365276351571,0.821365276351571,0.450520833333333,2.01361138770749,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","B_T_K",2,1,0.0117137793526091,-1.93130296084817,9.32721648239618,0.00079873720339189,0.79873720339189,0.427083333333333,-1.74053201581079,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","T_K",0.5,0.01,6.76584683172374e-06,-5.16967783819009,9.49093209543768,0.000652050618858387,0.652050618858387,0.416666666666667,12.7228128158354,3
"greedy_marginal | preconditioner=sgd","greedy_marginal","sgd","none","T_K",0.5,0.1,5.46025553782759e-05,-4.26278703200744,9.25282485828941,0.000643527503901472,0.643527503901472,0.451822916666667,6.70008554310815,3
