cumulative_delta_theta_norm,cumulative_norm_budget,cumulative_norm_budget_gap,cumulative_norm_budget_ratio,cumulative_norm_budget_satisfied,cumulative_norm_cost,cumulative_reference_budget,cumulative_reference_budget_gap,cumulative_reference_budget_ratio,cumulative_reference_budget_satisfied,cumulative_reference_cost,epoch,estimated_kl_regularization_flops,estimated_sft_flops,estimated_total_flops,estimated_trajectory_diagnostic_flops,estimated_trajectory_generation_flops,instruction_ifeval_proxy_instruction_accuracy,instruction_ifeval_proxy_instruction_accuracy_delta,instruction_ifeval_proxy_prompt_accuracy,instruction_ifeval_proxy_prompt_accuracy_delta,instruction_ifeval_proxy_prompt_count,instruction_ifeval_proxy_supported_instruction_count,instruction_ifeval_proxy_total_instruction_count,instruction_ifeval_proxy_unsupported_instruction_count,instruction_performance_degradation,kl_regularization_lambda,predicted_fisher_cost,realized_heldout_kl,reference_bbq_accuracy,reference_bbq_accuracy_delta,reference_bbq_count,reference_composition_name,reference_medical_reference_count,reference_medical_reference_primary_score,reference_medical_reference_primary_score_delta,reference_medical_reference_supported_count,reference_medical_reference_unsupported_count,reference_performance_degradation,reference_truthfulqa_count,reference_truthfulqa_exact_match,reference_truthfulqa_exact_match_delta,reference_truthfulqa_token_f1,reference_truthfulqa_token_f1_delta,safe_cost_beta,safe_cost_gamma,safe_epsilon,safe_epsilon_calibration_base,safe_epsilon_multiplier,safe_geometry,safe_reference_curvature_q0,safe_rho,safe_solver,safe_training_constraint_mode,safe_training_epsilon,safe_training_epsilon_scale_by_steps,seed,selected_predicted_fisher_cost,selected_predicted_norm_cost,selection_family,selection_method,selection_preconditioner,step,summary_path,target_loss_degradation,target_medqa_accuracy,target_medqa_accuracy_delta,target_medqa_count,target_performance,target_performance_delta,target_performance_delta_actual,target_performance_proxy,target_validation_loss,trained_lora_fisher_cost,type
6.522859573364258,,,,,21.389347076416016,,,,,0.0010853215353563428,1,0.0,2153665235140608.0,7684942251106304.0,3231772522373120.0,2299504493592576.0,,,,,,,,,,0.0,0.0010853215353563428,5.260220256506228,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,40,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3054465866443934,,,,,3.3054465866443934,,-0.7214657151343999,0.7214657151343999,0.0010853215353563428,trajectory_diagnostics
6.619354724884033,,,,,22.028291702270508,,,,,0.0011018401710316539,1,0.0,2371051832967168.0,8196126350966784.0,3525570024407040.0,2299504493592576.0,,,,,,,,,,0.0,0.0011018401710316539,5.270640251683254,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,44,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3109297861883533,,,,,3.3109297861883533,,-0.71598251559044,0.71598251559044,0.0011018401710316539,trajectory_diagnostics
6.690335273742676,,,,,22.503217697143555,,,,,0.0011132536455988884,1,0.0,2597624365424640.0,9482997883322368.0,3819367526440960.0,3066005991456768.0,0.55,0.050000000000000044,0.4375,0.0625,16.0,20.0,20.0,0.0,-0.050000000000000044,0.0,0.0011132536455988884,5.233015312868006,1.0,0.0,8.0,,16.0,0.6154083607394304,-0.053600134677515676,14.0,2.0,0.053600134677515676,6.0,0.0,0.0,0.2308167214788607,-0.10720026935503149,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,48,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.347148512417334,0.5625,0.0625,16.0,0.5625,3.347148512417334,0.0625,-0.6797637893614592,0.6797637893614592,0.0011132536455988884,trajectory_diagnostics
6.739902496337891,,,,,22.838134765625,,,,,0.0011207787320017815,1,0.0,2805575636729856.0,9984746656661504.0,4113165028474880.0,3066005991456768.0,,,,,,,,,,0.0,0.0011207787320017815,5.231176301544788,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,52,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3450954164072755,,,,,3.3450954164072755,,-0.6818168853715179,0.6818168853715179,0.0011207787320017815,trajectory_diagnostics
6.773355960845947,,,,,23.06548309326172,,,,,0.0011253503616899252,1,0.0,3029986772803584.0,1.0502955294769152e+16,4406962530508800.0,3066005991456768.0,,,,,,,,,,0.0,0.0011253503616899252,5.264088920518463,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,56,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3016626209755486,,,,,3.3016626209755486,,-0.7252496808032447,0.7252496808032447,0.0011253503616899252,trajectory_diagnostics
6.791679859161377,,,,,23.190502166748047,,,,,0.0011278155725449324,1,0.0,3255478607069184.0,1.1022244631068672e+16,4700760032542720.0,3066005991456768.0,,,,,,,,,,0.0,0.0011278155725449324,5.280024631350648,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,60,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.277839206981298,,,,,3.277839206981298,,-0.7490730947974953,0.7490730947974953,0.0011278155725449324,trajectory_diagnostics
6.797962188720703,,,,,23.23328971862793,,,,,0.0011286340886726975,1,0.0,3466464146374656.0,1.2293529170272256e+16,4994557534576640.0,3832507489320960.0,0.55,0.050000000000000044,0.4375,0.0625,16.0,20.0,20.0,0.0,-0.050000000000000044,0.0,0.0011286340886726975,5.2816601734535364,1.0,0.0,8.0,,16.0,0.6154083607394304,-0.053600134677515676,14.0,2.0,0.053600134677515676,6.0,0.0,0.0,0.2308167214788607,-0.10720026935503149,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,64,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.2724315644372837,0.5625,0.0625,16.0,0.5625,3.2724315644372837,0.0625,-0.7544807373415097,0.7544807373415097,0.0011286340886726975,trajectory_diagnostics
0.0,2.2811919081817184e-06,2.2811919081817184e-06,0.0,True,0.0,9.847034148103791e-06,9.847034148103791e-06,0.0,True,0.0,0,0.0,0.0,1060298999898112.0,293797502033920.0,766501497864192.0,0.5,0.0,0.375,0.0,16.0,20.0,20.0,0.0,-0.0,0.0,0.0,3.113461871759914e-09,1.0,0.0,8.0,B_K,16.0,0.6690084954169461,0.0,14.0,2.0,-0.0,6.0,0.0,0.0,0.3380169908338922,0.0,,0.01,0.0021359737396240237,0.004271947479248047,0.5,reference,431.66180419921875,9.847034148103791e-06,greedy_marginal,none,0.0021359737396240237,False,42,0.000764189928304404,3.382133627383155e-06,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,0,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_precondsgd_refB_K_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,0.0,0.5,0.0,16.0,0.5,-0.0,0.0,-4.026912301778793,4.026912301778793,0.0,trajectory_diagnostics
1.9761199951171875,2.2811919081817184e-06,-1.95474992561046,856899.5005599739,False,1.9547522068023682,9.847034148103791e-06,-0.00010571346452257107,11.735563920322948,False,0.00011556049867067486,0,0.0,195481676783616.0,1549578178715648.0,587595004067840.0,766501497864192.0,,,,,,,,,,0.0,0.00011556049867067486,3.718827537461823,,,,B_K,,,,,,,,,,,,,0.01,0.0021359737396240237,0.004271947479248047,0.5,reference,431.66180419921875,9.847034148103791e-06,greedy_marginal,none,0.0021359737396240237,False,42,0.000764189928304404,3.382133627383155e-06,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,4,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_precondsgd_refB_K_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,-3.378491448405839,,,,,3.378491448405839,,-0.6484208533729543,0.6484208533729543,0.00011556049867067486,trajectory_diagnostics
3.8950421810150146,2.2811919081817184e-06,-7.605188472744859,3333867.144916658,False,7.605190753936768,9.847034148103791e-06,-0.0003930076631650559,40.911272496270975,False,0.0004028546973131597,0,0.0,383107509018624.0,2031001512984576.0,881392506101760.0,766501497864192.0,,,,,,,,,,0.0,0.0004028546973131597,4.338066568561628,,,,B_K,,,,,,,,,,,,,0.01,0.0021359737396240237,0.004271947479248047,0.5,reference,431.66180419921875,9.847034148103791e-06,greedy_marginal,none,0.0021359737396240237,False,42,0.000764189928304404,3.382133627383155e-06,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,8,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_precondsgd_refB_K_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,-3.395229739835486,,,,,3.395229739835486,,-0.6316825619433075,0.6316825619433075,0.0004028546973131597,trajectory_diagnostics
4.9481682777404785,2.2811919081817184e-06,-12.283754928585925,5384797.818070866,False,12.283757209777832,9.847034148103791e-06,-0.0006381602865576974,65.8073599582861,False,0.0006480073207058012,0,0.0,570483949363200.0,2512175455363072.0,1175190008135680.0,766501497864192.0,,,,,,,,,,0.0,0.0006480073207058012,4.48678742203058,,,,B_K,,,,,,,,,,,,,0.01,0.0021359737396240237,0.004271947479248047,0.5,reference,431.66180419921875,9.847034148103791e-06,greedy_marginal,none,0.0021359737396240237,False,42,0.000764189928304404,3.382133627383155e-06,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,12,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_precondsgd_refB_K_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,-3.388520817272365,,,,,3.388520817272365,,-0.6383914845064282,0.6383914845064282,0.0006480073207058012,trajectory_diagnostics
